text,label
"Elections sont prévues ce mois-ci.",politique
"Le nouveau smartphone est sorti aujourd'hui.",non_politique
"Les réformes politiques sont essentielles pour le pays.",politique
"Le dernier film de Marvel est incroyable.",non_politique
"Le président a annoncé de nouvelles mesures.",politique
"La cuisine italienne est délicieuse.",non_politique
"Des manifestations ont eu lieu hier.",politique
"Les vacances d'été approchent.",non_politique
"Le débat présidentiel sera diffusé ce soir.",politique
"La dernière tendance mode est incroyable.",non_politique
